Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Daku Aur Jawan,29-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Swarg Narak,21-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Karmayogi,15-Dec-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Muqaddar Ka Sikandar,27-Oct-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Dil Aur Deewar,15-Sep-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Azaad,01-Sep-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Shalimar,12-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4,,,
Satyam Shivam Sundaram,06-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.2,,,
Main Tulsi Tere Aangan Ki,04-Aug-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.7,,,
Muqaddar,14-Jul-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.4,,,
Des Pardes,29-Jun-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5,,,
Don,12-Jun-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.5,,,
Trishul,04-May-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.5,,,
Kasme Vaade,20-Apr-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.4,,,
Ganga Ki Saugandh,10-Feb-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.3,,,
Vishwanath,20-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Khoon Ki Pukar,01-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Be-Sharam,01-Jan-78,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Phandebaaz,30-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Pati Patni Aur Woh,30-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Ahinsa,28-Dec-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Hum Tere Ashiq Hain,30-Nov-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Suhaag,16-Nov-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Dil Ka Heera,19-Oct-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Lahu Ke Do Rang,28-Sep-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Nalayak,14-Sep-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Kaala Patthar,24-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,`
Duniya Meri Jeb Mein,10-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
Sargam,01-Aug-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Khandaan,18-Jul-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Guru Ho Jaa Shuru,06-Jul-79,N.A. Cr,N.A. Cr,0.007 Cr,3,,,
Suraksha,22-Jun-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Mr. Natwarlal,08-Jun-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Jaani Dushman,25-May-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Amar Deep,18-May-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Kartavya,11-May-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
The Great Gambler,06-Apr-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Gautam Govinda,02-Mar-79,0 Cr N.A,0 Cr N.A,0 Cr N.A,8,,,
